From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
6;12;sea;1258;3008;1633;3000;1630;Skåne-Sjaelland
12;14;sea;1925;2980;1631;2975;1631;Sjaelland-Fyn
14;15;sea;1925;2965;1635;2963;1641;Fyn-Jylland
13;14;sea;1925;2954;1623;2962;1627;Slesvig-Fyn
14;1983;sea;1925;2975;1618;2978;1619;Fyn-Lolland
12;1983;sea;1925;2983;1619;2986;1626;Sjaelland-Lolland
123;124;sea;1307;3050;1286;3045;1284;Calabria-Messina
151;316;sea;1320;3261;1343;3258;1344;Thrace-Bithynia
1001;911;sea;1663;1486;1671;1480;1670;Sault-Menominee
911;945;sea;1662;1479;1656;1478;1650;Menominee-Michigan
944;987;sea;1661;-1;-1;-1;-1;Potawatomi-Niagara
1;1930;sea;1928;3099;1736;3111;1740;Stockholm-Åland
1930;27;sea;1253;3131;1745;3140;1750;Åland-Finland
142;144;sea;1311;3115;1314;3121;1317;Janina-Corfu
144;1773;sea;1312;3141;1293;3141;1289;Janina-Achaea
146;164;sea;1319;3199;1270;3186;1279;Athens-Naxos
149;317;sea;1320;3229;1332;3228;1335;Edine-Bursa
252;253;sea;1283;2715;1683;2705;1688;Highlands-Western Isles
252;369;sea;1282;2757;1705;2757;1710;Highlands-Orkney
97;100;sea;1269;2885;1576;2890;1580;Holland-Friesland
96;97;sea;1269;2871;1557;2873;1558;Zeeland-Holland
95;97;sea;1269;2881;1552;2880;1555;Breda-Holland
95;96;sea;1269;2874;1549;2869;1549;Breda-Zeeland
90;96;sea;1269;2856;1545;2859;1549;Vlaanderen-Zeeland
96;1865;sea;1269;2863;1548;2863;1544;Zeeland-Ghent
96;1744;sea;1269;2868;1548;2871;1544;Zeeland-Antwerpen
1017;1818;sea;1390;4853;1213;4848;1208;Suo-Chikuzen
1014;1819;sea;1390;4860;1202;4872;1202;Bungo-Tosa
1819;1825;sea;1390;4881;1219;4880;1214;Aki-Tosa
665;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
36;35;sea;1926;3171;1709;3165;1709;Estland-Ösel
35;39;sea;1256;3157;1684;3158;1694;Ösel-Kurland
597;620;sea;1361;4403;657;4415;672;Johor-Siak
659;622;sea;1361;4435;636;4433;631;Riau-Palembang
782;781;sea;1539;-1;-1;-1;-1;Tierra del Fuego-Patagonia Oriental
